Upper Level Conf,Upper Level Term,Lower Level Conf,Lower Level Term,average_partial_lifetime,re_partial_lifetime,difference
4d2,1D,5s5p,1P°,1.1236e-08,1.1236e-08,0.0000e+00
4d2,3P,5s5p,3P°,1.6949e-08,1.6949e-08,0.0000e+00
4d5p,1D°,5s4d,1D,2.5641e-08,2.3188e-08,2.4526e-09
4d5p,1D°,5s4d,3D,4.2949e-07,3.8841e-07,4.1082e-08
4d5p,1F°,5s4d,1D,3.3333e-06,3.3333e-06,4.2352e-22
4d5p,1P°,5s4d,1D,4.7619e-08,4.7618e-08,5.0304e-13
4d5p,1P°,5s2,1S,5.8824e-08,5.8823e-08,6.2141e-13
4d5p,1P°,5s5d,1D,1.2500e-06,1.2500e-06,1.3205e-11
4d5p,3D°,5s4d,3D,3.7100e-08,1.0828e-08,2.6272e-08
4d5p,3F°,5s4d,3D,1.2892e-07,4.4204e-08,8.4716e-08
4d5p,3F°,5s4d,1D,1.0641e-06,3.6486e-07,6.9924e-07
4d5p,3P°,5s4d,3D,1.2516e-07,9.7470e-09,1.1541e-07
4d5p,3P°,5s4d,1D,3.3333e-06,2.5959e-07,3.0737e-06
5p2,3P,5s5p,3P°,2.4466e-08,1.1215e-08,1.3251e-08
5s4f,1F°,5s4d,1D,3.7037e-08,3.7037e-08,4.8889e-13
5s4f,1F°,5s5d,1D,2.5641e-07,2.5641e-07,3.3846e-12
5s4f,3F°,5s4d,3D,9.1928e-08,2.7337e-08,6.4591e-08
5s5d,1D,5s5p,1P°,1.5152e-07,1.5152e-07,0.0000e+00
5s5d,3D,5s5p,3P°,1.5880e-07,1.6412e-08,1.4239e-07
5s5f,1F°,5s4d,1D,5.2632e-08,5.2631e-08,7.6691e-13
5s5f,1F°,5s5d,1D,1.6393e-06,1.6393e-06,2.3886e-11
5s5p,1P°,5s2,1S,4.9751e-09,4.9751e-09,0.0000e+00
5s5p,3P°,5s2,1S,2.1322e-05,2.1322e-05,0.0000e+00
5s6f,1F°,5s4d,1D,8.3333e-08,8.3333e-08,0.0000e+00
5s6p,1P°,5s4d,1D,1.0638e-07,1.0638e-07,-2.2464e-12
5s6p,1P°,5s2,1S,5.2632e-07,5.2633e-07,-1.1114e-11
5s6p,1P°,5s4d,3D,7.1429e-05,7.1431e-05,-1.5084e-09
5s6p,3P°,5s4d,3D,1.9287e-07,7.9184e-08,1.1369e-07
5s6p,3P°,5s4d,1D,3.9583e-07,1.6251e-07,2.3332e-07
5s6s,3S,5s5p,3P°,5.7735e-08,1.2837e-08,4.4898e-08
5s7f,1F°,5s4d,1D,1.2987e-07,1.2987e-07,0.0000e+00
5s7p,1P°,5s4d,1D,5.8824e-08,5.8824e-08,4.7937e-13
5s7p,1P°,5s2,1S,1.8868e-07,1.8868e-07,1.5376e-12
5s7s,3S,5s5p,3P°,1.6340e-07,3.5336e-08,1.2806e-07
