Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s-1),Acc.,Ei  (cm-1),,Ek  (cm-1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
,23.434716061,0.000000011,,3.1581e+08,AA,0.0000,-,(426 717.352745),1s,2S,1/2,6p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,23.434727975,0.000000011,,3.1581e+08,AA,0.0000,-,(426 717.135815),1s,2S,1/2,6p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,23.733066411,0.000000011,,5.5028e+08,AA,0.0000,-,(421 353.0534464),1s,2S,1/2,5p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,23.733087525,0.000000011,,5.5028e+08,AA,0.0000,-,(421 352.6785905),1s,2S,1/2,5p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,24.302644454,0.000000012,,1.0915e+09,AA,0.0000,-,(411 477.8545580),1s,2S,1/2,4p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,24.302687696,0.000000012,,1.0915e+09,AA,0.0000,-,(411 477.1224141),1s,2S,1/2,4p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,25.631656279,0.000000013,,2.6774e+09,AA,0.0000,-,(390 142.5600890),1s,2S,1/2,3p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,25.631770296,0.000000013,,2.6774e+09,AA,0.0000,-,(390 140.824628),1s,2S,1/2,3p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,30.378040982,0.000000018,,1.0029e+10,AA,0.0000,-,(329 185.150747),1s,2S,1/2,2p,2P°,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,30.378581505,0.000000018,,1.0029e+10,AA,0.0000,-,(329 179.293589),1s,2S,1/2,2p,2P°,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,102.524082643,0.000000006,,6.8642e+07,AA,(329 179.293589),-,(426 717.352377),2p,2P°,1/2,6d,2D,3/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
,102.524291871,0.000000005,,3.9223e+06,AA,(329 179.293589),-,(426 717.153325),2p,2P°,1/2,6s,2S,1/2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=8637&amp;comment_code=&amp;element=He&amp;spectr_charge=2&amp;ref=8637&amp;type=,
